"","State.Code","o3_mean","year","pm2.5_mean","so2_mean","co_mean","no2_mean","State.Name"
"1",1,0.0309265369104543,2011,11.463052010528,1.42956666619318,0.339709086048159,NA,"Alabama"
"2",2,0.0251622016065415,2011,5.63962743883256,7.64180988602941,0.540025866877033,NA,"Alaska"
"3",4,0.0376448416771953,2011,9.23414920194161,1.8795075694809,0.385180503190907,16.0161683370128,"Arizona"
"4",5,0.0319949131291149,2011,11.6099359544798,1.67033805641541,0.447883271917808,9.98697388071013,"Arkansas"
"5",6,0.035079180843444,2011,10.9195330249242,0.857803238448213,0.363345318242926,12.9558701547852,"California"
"6",8,0.0417124849319856,2011,7.77302863573511,1.14149319699559,0.330683558909685,4.64237624936994,"Colorado"
"7",9,0.0336343094357977,2011,9.18127458544348,1.20911079616122,0.339884907530862,9.16439613231283,"Connecticut"
"8",10,0.0320457203671503,2011,10.3383042212268,1.55798908699254,0.285896067035245,11.4566014384058,"Delaware"
"9",11,0.0292669777468707,2011,10.5273262508475,2.72887105254091,0.694592815056313,15.4962959109875,"District Of Columbia"
"10",12,0.0299888277737545,2011,7.93891091489362,0.912859380491341,0.193175077720061,5.38305203190245,"Florida"
"11",13,0.0345523070625097,2011,11.9140852471252,1.73914732936499,0.34073522079387,7.04889233676547,"Georgia"
"12",15,0.0231431348837209,2011,7.36204101089156,8.70662001480983,0.348932090280549,2.7653172598181,"Hawaii"
"13",16,0.0401577963147739,2011,11.4349360999233,3.08084053889803,0.271950680806676,10.4178820344828,"Idaho"
"14",17,0.0296138445170322,2011,10.5151785714286,1.75318431330291,0.415211877020463,15.842281912249,"Illinois"
"15",18,0.033709635499701,2011,12.3195532354643,2.64678822966655,0.486188588559128,10.4002280228605,"Indiana"
"16",19,0.032156997684094,2011,10.5481034278937,1.21467835270864,0.211270354490817,7.81595465049772,"Iowa"
"17",20,0.0353033237918134,2011,9.31604533990934,1.49104287078237,0.23318747921845,7.41315328146749,"Kansas"
"18",21,0.033970817372208,2011,10.9089323213924,1.99260106263337,0.470946426846968,6.32416431147348,"Kentucky"
"19",22,0.0294014832755182,2011,10.0387952750352,4.32424104069563,0.221414979395604,6.55632054434721,"Louisiana"
"20",23,0.0286803873073644,2011,NA,0.362474808770029,0.167572686188735,2.86729369490924,"Maine"
"21",24,0.0338446325373985,2011,10.8872458094627,1.46886396585462,0.231704073586708,13.2138961599142,"Maryland"
"22",25,0.0322898295433619,2011,8.54403019570967,2.36939123284858,0.328113315926531,11.4983583176393,"Massachusetts"
"23",26,0.032858784283429,2011,8.79081281329168,1.72963564821279,0.309894466414424,8.59260459399241,"Michigan"
"24",27,0.0316462704117581,2011,7.0218209951202,0.362501032816476,0.175949007273464,7.08410543236127,"Minnesota"
"25",28,0.03336359172152,2011,11.7545667249186,0.932007444593059,0.242718275342466,4.78837678356164,"Mississippi"
"26",29,0.0379108657167816,2011,10.6374163868928,3.95775441043744,0.270996108219178,14.8750651412926,"Missouri"
"27",30,0.0316166271906095,2011,7.54548608120401,1.68800778871986,0.212966933342915,2.05957524420187,"Montana"
"28",31,0.0333059822460017,2011,9.18620107820288,1.5551238817734,0.330247298308239,NA,"Nebraska"
"29",32,0.0378255573678328,2011,6.63296475412775,0.894851037885353,0.406016101322021,11.3986492289664,"Nevada"
"30",33,0.0305586547306193,2011,7.75316634515719,2.22976710660126,0.327758036534242,2.14511744545455,"New Hampshire"
"31",34,0.0301296995351264,2011,9.36464748684831,1.31066900769293,0.338082221552967,12.8185995741851,"New Jersey"
"32",35,0.0359950637272503,2011,6.11591865977548,0.662236328079865,0.402409130892449,7.63210842472531,"New Mexico"
"33",36,0.030087428474298,2011,8.34690886724754,1.1717238291045,0.282384927294456,6.36610162985246,"New York"
"34",37,0.0352130607319184,2011,9.81938785314545,0.775743443830753,0.351291765629235,9.10384196477483,"North Carolina"
"35",38,0.0316261803548178,2011,7.27767804401296,0.641797361924513,0.165214311594203,2.4766632193408,"North Dakota"
"36",39,0.0331853962068073,2011,11.7369147965014,2.7023380457213,0.31507330182848,10.2113352507197,"Ohio"
"37",40,0.0380362259269384,2011,10.6991542838683,2.38572852821556,0.227191608887221,7.72311928154914,"Oklahoma"
"38",41,0.0270249466612699,2011,8.71773643961432,0.756050352507375,0.338233156164384,9.40429039428571,"Oregon"
"39",42,0.0301351388073482,2011,11.5469875116207,2.58669885936138,0.233202501641978,9.78793031389618,"Pennsylvania"
"40",44,0.0318300187493095,2011,8.7148917546614,1.22861520134731,0.234277616783217,8.62334437148739,"Rhode Island"
"41",45,0.033410700530384,2011,10.713091849174,0.672061118567596,0.202457353604571,6.16711988105634,"South Carolina"
"42",46,0.0341187591636771,2011,5.29884669787493,0.660604971993452,0.171089722010225,5.02572995935352,"South Dakota"
"43",47,0.0358822310824955,2011,13.0072133985173,2.14907265420813,0.337201238615365,9.5379734348157,"Tennessee"
"44",48,0.0317056709877931,2011,10.7510663449806,0.767392338276985,0.221569015610816,7.67681258188152,"Texas"
"45",49,0.0425586682916146,2011,6.53026000645225,1.35331297109411,0.429357186441523,5.76379136085053,"Utah"
"46",50,0.0308216783094034,2011,7.77559886068405,2.09376458977434,0.372104506383314,7.83900449160032,"Vermont"
"47",51,0.0334945285108991,2011,9.27827533125113,0.825035700975665,0.26699610429153,7.81166857547301,"Virginia"
"48",53,0.0251893394329415,2011,7.87277724940949,0.717361185633899,0.311434102204817,5.81081500638978,"Washington"
"49",54,0.0314576164100387,2011,10.9829202940736,3.89935655303425,0.394552373389506,NA,"West Virginia"
