"","Location","year","SNAP","individual_homeless","fam_homeless","total_homeless","unemployment_rate","Male_poverty","Female_poverty","Total_poverty"
"293","New York",2015,303.9108,3.6135,5.2115,8.825,5.2,0.12,0.157,0.139
"294","New York",2016,296.8227,3.5315,5.1037,8.6352,4.9,0.12,0.157,0.139
"295","New York",2017,291.0894,3.739,5.2113,8.9503,4.6,0.112,0.141,0.127
"296","New York",2018,279.662,3.9827,5.207,9.1897,4.1,0.106,0.141,0.124
"297","New York",2019,266.17,4.2113,4.9978,9.2091,3.8,0.099,0.129,0.115
"298","North Carolina",2011,159.0069,0.8303,0.4593,1.2896,10,0.144,0.183,0.165
"299","North Carolina",2012,166.8588,0.848,0.5044,1.3524,9.5,0.146,0.189,0.168
"300","North Carolina",2013,170.37,0.753,0.4638,1.2168,7.7,0.151,0.187,0.17
"301","North Carolina",2014,157.5676,0.7498,0.3993,1.1491,6.1,0.143,0.185,0.165
"302","North Carolina",2015,164.6202,0.7156,0.3529,1.0685,5.7,0.136,0.174,0.156
"303","North Carolina",2016,156.8387,0.6396,0.3163,0.9559,5.1,0.136,0.174,0.156
"304","North Carolina",2017,136.5394,0.6044,0.2918,0.8962,4.5,0.119,0.156,0.138
"305","North Carolina",2018,113.8288,0.6451,0.2817,0.9268,4,0.111,0.152,0.132
"306","North Carolina",2019,122.8424,0.6867,0.2447,0.9314,3.8,0.107,0.143,0.126
"307","North Dakota",2011,6.0902,0.0396,0.0207,0.0603,3.4,0.101,0.129,0.115
"308","North Dakota",2012,5.8796,0.0485,0.0203,0.0688,3,0.077,0.119,0.097
"309","North Dakota",2013,5.6523,0.123,0.0839,0.2069,2.9,0.11,0.139,0.124
"310","North Dakota",2014,5.3753,0.0886,0.0372,0.1258,2.6,0.102,0.125,0.113
"311","North Dakota",2015,5.3148,0.0864,0.0441,0.1305,2.8,0.104,0.144,0.123
"312","North Dakota",2016,5.4252,0.0662,0.0261,0.0923,3.1,0.104,0.144,0.123
"313","North Dakota",2017,5.3748,0.0832,0.0257,0.1089,2.6,0.084,0.119,0.101
"314","North Dakota",2018,5.2621,0.0467,0.0075,0.0542,2.4,0.098,0.121,0.109
"315","North Dakota",2019,4.5312,0.0377,0.018,0.0557,2.1,0.113,0.131,0.122
"316","Ohio",2011,177.9237,0.7812,0.5218,1.303,8.9,0.133,0.171,0.153
"317","Ohio",2012,180.7913,0.7855,0.6122,1.3977,7.3,0.129,0.174,0.152
"318","Ohio",2013,182.4675,0.7611,0.4714,1.2325,7.5,0.129,0.166,0.148
"319","Ohio",2014,175.2135,0.7704,0.4119,1.1823,5.8,0.129,0.173,0.151
"320","Ohio",2015,167.6263,0.7565,0.3617,1.1182,5,0.12,0.163,0.142
"321","Ohio",2016,160.8633,0.6946,0.3458,1.0404,5.1,0.12,0.163,0.142
"322","Ohio",2017,150.1795,0.6688,0.3407,1.0095,5,0.114,0.15,0.132
"323","Ohio",2018,142.1366,0.6929,0.332,1.0249,4.5,0.114,0.15,0.132
"324","Ohio",2019,127.3257,0.7041,0.3304,1.0345,4.2,0.104,0.144,0.124
"325","Oklahoma",2011,61.4704,0.3236,0.1389,0.4625,5.9,0.147,0.183,0.166
"326","Oklahoma",2012,61.4947,0.3454,0.1578,0.5032,5.1,0.141,0.178,0.16
"327","Oklahoma",2013,62.1831,0.3179,0.1229,0.4408,5.1,0.122,0.184,0.154
"328","Oklahoma",2014,60.8492,0.2964,0.1227,0.4191,4.3,0.133,0.184,0.159
"329","Oklahoma",2015,59.8257,0.2781,0.0996,0.3777,4.3,0.122,0.183,0.153
"330","Oklahoma",2016,61.2869,0.2997,0.111,0.4107,4.7,0.122,0.183,0.153
"331","Oklahoma",2017,60.3896,0.2824,0.1375,0.4199,4,0.131,0.165,0.148
"332","Oklahoma",2018,58.5064,0.2823,0.1048,0.3871,3.3,0.129,0.165,0.147
"333","Oklahoma",2019,53.1728,0.3063,0.0881,0.3944,3.1,0.125,0.174,0.15
"334","Oregon",2011,77.2756,0.9445,0.7809,1.7254,9.6,0.154,0.187,0.171
"335","Oregon",2012,81.5221,0.9788,0.604,1.5828,8.6,0.159,0.181,0.17
"336","Oregon",2013,81.7575,0.8994,0.4828,1.3822,7.8,0.153,0.178,0.165
"337","Oregon",2014,80.219,0.7988,0.4176,1.2164,6.6,0.154,0.172,0.163
"338","Oregon",2015,77.9749,0.9461,0.3765,1.3226,5.5,0.138,0.168,0.153
"339","Oregon",2016,73.4864,0.9379,0.3859,1.3238,4.8,0.138,0.168,0.153
"340","Oregon",2017,68.0671,1.0434,0.3519,1.3953,4.1,0.117,0.148,0.133
"341","Oregon",2018,63.397,1.1139,0.3337,1.4476,4,0.113,0.135,0.124
"342","Oregon",2019,55.4927,1.2354,0.3522,1.5876,3.7,0.112,0.123,0.117
"343","Pennsylvania",2011,171.8211,0.7867,0.7229,1.5096,7.9,0.111,0.144,0.128
"344","Pennsylvania",2012,179.9209,0.7295,0.7441,1.4736,7.7,0.112,0.146,0.13
"345","Pennsylvania",2013,178.479,0.7973,0.7113,1.5086,7.1,0.118,0.143,0.131
"346","Pennsylvania",2014,179.6154,0.8359,0.6974,1.5333,5.9,0.117,0.143,0.13
"347","Pennsylvania",2015,182.6667,0.8605,0.6816,1.5421,5.4,0.108,0.138,0.123
"348","Pennsylvania",2016,186.3836,0.8599,0.674,1.5339,5.3,0.108,0.138,0.123
"349","Pennsylvania",2017,184.2945,0.8271,0.5867,1.4138,5,0.104,0.136,0.121
"350","Pennsylvania",2018,181.8589,0.8163,0.5349,1.3512,4.5,0.103,0.132,0.118
"351","Pennsylvania",2019,162.764,0.8426,0.4773,1.3199,4.5,0.099,0.131,0.115
"352","Rhode Island",2011,16.0201,0.0652,0.0418,0.107,15.8,0.108,0.153,0.131
"353","Rhode Island",2012,17.2846,0.0788,0.0489,0.1277,9.8,0.117,0.135,0.126
"354","Rhode Island",2013,17.9925,0.0862,0.0522,0.1384,9.5,0.11,0.154,0.132
"355","Rhode Island",2014,17.8518,0.0779,0.0411,0.119,7.8,0.106,0.166,0.137
"356","Rhode Island",2015,17.5025,0.0706,0.0405,0.1111,6,0.117,0.14,0.129
"357","Rhode Island",2016,17.1055,0.0859,0.0301,0.116,5.2,0.117,0.14,0.129
"358","Rhode Island",2017,16.4238,0.0802,0.0378,0.118,4.5,0.096,0.123,0.11
"359","Rhode Island",2018,NA,0.0747,0.0354,0.1101,4.1,0.101,0.122,0.112
"360","Rhode Island",2019,14.1232,0.073,0.0325,0.1055,3.6,0.098,0.112,0.105
"361","South Carolina",2011,84.4405,0.3505,0.1588,0.5093,10.8,0.15,0.196,0.174
"362","South Carolina",2012,86.9801,0.3327,0.1588,0.4915,8.6,0.141,0.191,0.167
"363","South Carolina",2013,87.5866,0.4736,0.1808,0.6544,7.4,0.147,0.196,0.172
"364","South Carolina",2014,83.4511,0.3813,0.1244,0.5057,6.3,0.144,0.194,0.17
"365","South Carolina",2015,80.4572,0.3934,0.142,0.5354,5.9,0.134,0.183,0.159
"366","South Carolina",2016,80.5012,0.3758,0.1293,0.5051,4.9,0.134,0.183,0.159
"367","South Carolina",2017,71.9977,0.2896,0.102,0.3916,4.2,0.129,0.164,0.147
"368","South Carolina",2018,65.8119,0.3082,0.0851,0.3933,3.4,0.12,0.162,0.142
"369","South Carolina",2019,55.8722,0.3318,0.0854,0.4172,2.8,0.106,0.15,0.129
"370","South Dakota",2011,10.1817,0.046,0.0366,0.0826,10.3,0.103,0.127,0.115
"371","South Dakota",2012,10.3846,0.0512,0.0347,0.0859,4,0.115,0.138,0.126
"372","South Dakota",2013,10.4052,0.0557,0.0537,0.1094,3.7,0.108,0.161,0.134
"373","South Dakota",2014,10.0938,0.049,0.0395,0.0885,3.3,0.119,0.154,0.136
"374","South Dakota",2015,9.8553,0.063,0.0406,0.1036,3.1,0.112,0.159,0.136
"375","South Dakota",2016,9.5983,0.0548,0.0524,0.1072,3,0.112,0.159,0.136
"376","South Dakota",2017,9.3259,0.0611,0.0332,0.0943,3.1,0.126,0.12,0.123
"377","South Dakota",2018,8.741,0.0836,0.0323,0.1159,2.8,0.124,0.149,0.137
"378","South Dakota",2019,7.502,0.0725,0.027,0.0995,2.8,0.099,0.102,0.1
"379","Tennessee",2011,127.579,0.6475,0.2638,0.9113,4.7,0.144,0.188,0.167
"380","Tennessee",2012,131.681,0.6905,0.2521,0.9426,7.8,0.145,0.19,0.169
"381","Tennessee",2013,134.2089,0.6909,0.2619,0.9528,7.7,0.145,0.19,0.168
"382","Tennessee",2014,131.2505,0.68,0.2615,0.9415,6.6,0.15,0.194,0.173
"383","Tennessee",2015,122.9391,0.6516,0.2607,0.9123,5.6,0.136,0.177,0.158
"384","Tennessee",2016,111.3231,0.6652,0.2127,0.8779,4.8,0.136,0.177,0.158
"385","Tennessee",2017,104.7058,0.6137,0.2172,0.8309,3.8,0.121,0.164,0.143
"386","Tennessee",2018,97.0875,0.6139,0.1744,0.7883,3.5,0.123,0.165,0.145
"387","Tennessee",2019,83.213,0.5637,0.183,0.7467,3.4,0.106,0.148,0.128
"388","Texas",2011,397.7273,2.3577,1.3334,3.6911,9.5,0.135,0.181,0.159
"389","Texas",2012,403.844,2.0743,1.3309,3.4052,6.5,0.131,0.174,0.153
"390","Texas",2013,404.1891,2.0758,0.8857,2.9615,6.3,0.13,0.176,0.153
"391","Texas",2014,385.2675,1.9177,0.9318,2.8495,5.2,0.124,0.174,0.149
"392","Texas",2015,372.4688,1.6265,0.7413,2.3678,4.5,0.114,0.16,0.138
"393","Texas",2016,376.8472,1.5959,0.7163,2.3122,4.7,0.114,0.16,0.138
"394","Texas",2017,392.1278,1.6708,0.684,2.3548,4.3,0.103,0.15,0.127
"395","Texas",2018,389.5207,1.9199,0.6111,2.531,3.9,0.105,0.151,0.128
"396","Texas",2019,318.7238,1.9611,0.6237,2.5848,3.5,0.097,0.139,0.118
"397","Utah",2011,28.3971,0.1842,0.1288,0.313,8.2,0.12,0.153,0.136
"398","Utah",2012,27.689,0.2049,0.1478,0.3527,4.6,0.105,0.132,0.118
"399","Utah",2013,25.1626,0.1959,0.1318,0.3277,4.2,0.109,0.142,0.126
"400","Utah",2014,22.9911,0.1729,0.1352,0.3081,3.6,0.104,0.131,0.117
"401","Utah",2015,22.5603,0.1809,0.1216,0.3025,3.5,0.095,0.126,0.11
"402","Utah",2016,21.982,0.1828,0.0979,0.2807,3.4,0.095,0.126,0.11
"403","Utah",2017,20.6299,0.1882,0.097,0.2852,3.2,0.086,0.103,0.094
"404","Utah",2018,18.9093,0.1904,0.0972,0.2876,2.9,0.075,0.105,0.09
"405","Utah",2019,16.0829,0.1921,0.0877,0.2798,2.6,0.083,0.106,0.094
"406","Vermont",2011,9.2038,0.0637,0.0507,0.1144,7.2,0.094,0.118,0.106
"407","Vermont",2012,9.6579,0.0653,0.0507,0.116,4.7,0.109,0.121,0.115
"408","Vermont",2013,10.0541,0.0701,0.0753,0.1454,4.4,0.108,0.145,0.127
"409","Vermont",2014,9.3,0.0823,0.0736,0.1559,4,0.094,0.114,0.104
"410","Vermont",2015,8.4994,0.091,0.0613,0.1523,3.5,0.083,0.11,0.096
"411","Vermont",2016,7.9715,0.0655,0.0462,0.1117,3.1,0.083,0.11,0.096
"412","Vermont",2017,7.6558,0.0697,0.0528,0.1225,3,0.093,0.142,0.118
"413","Vermont",2018,7.3058,0.078,0.0511,0.1291,2.6,0.109,0.117,0.113
"414","Vermont",2019,6.8277,0.0681,0.0408,0.1089,2.3,0.104,0.137,0.121
"415","Virginia",2011,85.8782,0.5231,0.3585,0.8816,5.5,0.094,0.125,0.11
"416","Virginia",2012,91.3878,0.5084,0.334,0.8424,5.8,0.098,0.124,0.112
"417","Virginia",2013,94.0932,0.4532,0.3093,0.7625,5.6,0.093,0.13,0.112
"418","Virginia",2014,91.8902,0.4234,0.2786,0.702,5.1,0.101,0.128,0.115
"419","Virginia",2015,86.0375,0.419,0.2811,0.7001,4.4,0.093,0.124,0.109
"420","Virginia",2016,82.6354,0.3959,0.2309,0.6268,4,0.093,0.124,0.109
"421","Virginia",2017,77.5548,0.4028,0.2039,0.6067,3.7,0.086,0.114,0.1
"422","Virginia",2018,73.6221,0.3928,0.2047,0.5975,3,0.084,0.119,0.102
"423","Virginia",2019,65.4882,0.3666,0.2117,0.5783,2.8,0.081,0.104,0.093
"424","Washington",2011,105.4693,1.0868,0.9571,2.0439,6.3,0.122,0.145,0.134
"425","Washington",2012,110.809,1.1273,0.9231,2.0504,7.2,0.112,0.146,0.129
"426","Washington",2013,111.3441,1.0617,0.7143,1.776,6.6,0.12,0.15,0.135
"427","Washington",2014,109.5551,1.139,0.7052,1.8442,5.9,0.114,0.142,0.128
"428","Washington",2015,107.0933,1.2526,0.6893,1.9419,5.4,0.108,0.139,0.124
"429","Washington",2016,101.1412,1.39,0.6927,2.0827,5.2,0.108,0.139,0.124
"430","Washington",2017,92.9486,1.4781,0.6331,2.1112,4.6,0.097,0.114,0.105
"431","Washington",2018,87.7244,1.6424,0.588,2.2304,4.5,0.091,0.115,0.103
"432","Washington",2019,83.3128,1.5985,0.5592,2.1577,4.3,0.082,0.107,0.094
"433","West Virginia",2011,34.5955,0.1662,0.0549,0.2211,9.1,0.165,0.205,0.185
"434","West Virginia",2012,34.6833,0.1742,0.0668,0.241,7.3,0.157,0.194,0.176
"435","West Virginia",2013,35.0695,0.1544,0.0696,0.224,6.7,0.153,0.202,0.178
"436","West Virginia",2014,36.2501,0.1488,0.0525,0.2013,6.5,0.171,0.207,0.189
"437","West Virginia",2015,36.7908,0.1414,0.0421,0.1835,6.6,0.154,0.203,0.179
"438","West Virginia",2016,35.7531,0.1039,0.0348,0.1387,6.1,0.154,0.203,0.179
"439","West Virginia",2017,34.0308,0.1032,0.0277,0.1309,5.2,0.17,0.225,0.198
"440","West Virginia",2018,32.1009,0.1021,0.0222,0.1243,5.2,0.161,0.2,0.181
"441","West Virginia",2019,28.2662,0.1149,0.0248,0.1397,4.9,0.14,0.188,0.164
"442","Wisconsin",2011,80.1073,0.2838,0.2947,0.5785,8.5,0.112,0.14,0.126
"443","Wisconsin",2012,83.5312,0.3033,0.2994,0.6027,6.9,0.111,0.138,0.124
"444","Wisconsin",2013,85.673,0.3005,0.3099,0.6104,6.6,0.107,0.144,0.126
"445","Wisconsin",2014,84.1533,0.2929,0.3126,0.6055,5.4,0.11,0.139,0.124
"446","Wisconsin",2015,80.554,0.2992,0.3065,0.6057,4.4,0.101,0.123,0.112
"447","Wisconsin",2016,72.8077,0.2886,0.2799,0.5685,3.9,0.101,0.123,0.112
"448","Wisconsin",2017,69.1635,0.2645,0.2382,0.5027,3.3,0.096,0.122,0.109
"449","Wisconsin",2018,65.2885,0.274,0.2167,0.4907,3,0.087,0.119,0.103
"450","Wisconsin",2019,57.2323,0.2545,0.1993,0.4538,3.2,0.08,0.111,0.095
"451","Wyoming",2011,3.6031,0.032,0.0718,0.1038,7.5,0.087,0.129,0.107
"452","Wyoming",2012,3.4347,0.1302,0.0511,0.1813,5.3,0.094,0.152,0.122
"453","Wyoming",2013,3.8046,0.0677,0.0276,0.0953,4.7,0.091,0.112,0.101
"454","Wyoming",2014,3.5871,0.0463,0.0294,0.0757,4.3,0.103,0.145,0.123
"455","Wyoming",2015,3.2606,0.05,0.0298,0.0798,4.2,0.077,0.125,0.101
"456","Wyoming",2016,3.3853,0.0517,0.034,0.0857,5.3,0.077,0.125,0.101
"457","Wyoming",2017,3.2839,0.0622,0.0251,0.0873,4.3,0.101,0.139,0.12
"458","Wyoming",2018,2.933,0.0434,0.0205,0.0639,4.1,0.088,0.142,0.115
"459","Wyoming",2019,2.4309,0.0437,0.0111,0.0548,3.8,0.092,0.12,0.105
