"","Location","year","SNAP","individual_homeless","fam_homeless","total_homeless","unemployment_rate","Male_poverty","Female_poverty","Total_poverty"
"69","Delaware",2016,14.7559,0.0753,0.0317,0.107,4.5,0.102,0.147,0.125
"70","Delaware",2017,14.6805,0.0615,0.0379,0.0994,4.5,0.105,0.148,0.127
"71","Delaware",2018,14.0298,0.0708,0.0374,0.1082,3.8,0.103,0.131,0.118
"72","Delaware",2019,11.9787,0.0565,0.0356,0.0921,3.7,0.08,0.125,0.103
"73","District of Columbia",2011,13.4845,0.3858,0.2688,0.6546,10.3,0.145,0.186,0.166
"74","District of Columbia",2012,14.1147,0.3767,0.3187,0.6954,8.6,0.144,0.175,0.161
"75","District of Columbia",2013,14.4889,0.3696,0.3169,0.6865,8.4,0.156,0.192,0.175
"76","District of Columbia",2014,14.2707,0.3953,0.3795,0.7748,7.7,0.124,0.17,0.148
"77","District of Columbia",2015,14.1845,0.3821,0.3477,0.7298,6.9,0.144,0.147,0.146
"78","District of Columbia",2016,13.4625,0.3683,0.4667,0.835,6.2,0.144,0.147,0.146
"79","District of Columbia",2017,11.9104,0.3583,0.389,0.7473,6.1,0.118,0.167,0.144
"80","District of Columbia",2018,11.2282,0.377,0.3134,0.6904,5.7,0.122,0.163,0.143
"81","District of Columbia",2019,10.123,0.3875,0.2646,0.6521,5.3,0.109,0.139,0.124
"82","Florida",2011,307.4671,3.7584,1.9103,5.6687,10.7,0.15,0.173,0.162
"83","Florida",2012,335.3064,3.6771,1.8399,5.517,8.3,0.144,0.177,0.161
"84","Florida",2013,355.6473,3.1359,1.6503,4.7862,7.5,0.148,0.177,0.163
"85","Florida",2014,352.6311,2.873,1.2812,4.1542,6.4,0.144,0.174,0.159
"86","Florida",2015,365.6169,2.6325,0.9575,3.59,5.5,0.131,0.165,0.148
"87","Florida",2016,345.453,2.4201,0.9358,3.3559,4.9,0.131,0.165,0.148
"88","Florida",2017,318.6537,2.2768,0.9422,3.219,4.3,0.115,0.146,0.131
"89","Florida",2018,334.7518,2.1443,0.9587,3.103,3.7,0.109,0.138,0.124
"90","Florida",2019,264.9741,2.1265,0.7063,2.8328,3.2,0.102,0.13,0.116
"91","Georgia",2011,178.0039,1.5975,0.5,2.0975,10.1,0.155,0.194,0.175
"92","Georgia",2012,191.2839,1.5363,0.5153,2.0516,8.7,0.151,0.193,0.173
"93","Georgia",2013,194.8189,1.288,0.4091,1.6971,8.1,0.148,0.195,0.172
"94","Georgia",2014,181.5833,1.2403,0.4118,1.6521,7.1,0.149,0.188,0.169
"95","Georgia",2015,180.0531,0.9702,0.4088,1.379,6.1,0.132,0.177,0.156
"96","Georgia",2016,173.3473,0.9265,0.3644,1.2909,5.5,0.132,0.177,0.156
"97","Georgia",2017,162.5415,0.7422,0.2752,1.0174,4.8,0.117,0.157,0.137
"98","Georgia",2018,155.6452,0.6943,0.2556,0.9499,4,0.104,0.149,0.128
"99","Georgia",2019,133.2536,0.7913,0.253,1.0443,3.6,0.1,0.137,0.119
"100","Hawaii",2011,15.9644,0.3195,0.2993,0.6188,6.3,0.103,0.123,0.113
"101","Hawaii",2012,17.6823,0.313,0.3116,0.6246,5.4,0.09,0.132,0.111
"102","Hawaii",2013,18.935,0.3355,0.298,0.6335,4.8,0.104,0.119,0.112
"103","Hawaii",2014,19.4264,0.375,0.3168,0.6918,4.2,0.096,0.124,0.11
"104","Hawaii",2015,18.8895,0.4307,0.3313,0.762,3.4,0.097,0.112,0.105
"105","Hawaii",2016,17.6729,0.459,0.3331,0.7921,2.9,0.097,0.112,0.105
"106","Hawaii",2017,16.9045,0.4535,0.2685,0.722,2.2,0.083,0.114,0.099
"107","Hawaii",2018,16.3618,0.4131,0.2399,0.653,2.4,0.08,0.101,0.09
"108","Hawaii",2019,14.4922,0.442,0.1992,0.6412,2.4,0.082,0.101,0.092
"109","Idaho",2011,22.8629,0.131,0.0889,0.2199,9.2,0.133,0.179,0.156
"110","Idaho",2012,23.3034,0.1175,0.0793,0.1968,7.2,0.127,0.171,0.149
"111","Idaho",2013,22.7006,0.1084,0.0697,0.1781,6.8,0.148,0.165,0.157
"112","Idaho",2014,21.1781,0.1234,0.087,0.2104,4.4,0.135,0.156,0.146
"113","Idaho",2015,19.6872,0.1172,0.0794,0.1966,3.9,0.135,0.164,0.149
"114","Idaho",2016,18.5303,0.1284,0.0963,0.2247,3.7,0.135,0.164,0.149
"115","Idaho",2017,17.1251,0.1309,0.0728,0.2037,3.2,0.12,0.143,0.132
"116","Idaho",2018,15.7858,0.1297,0.0715,0.2012,2.9,0.109,0.127,0.118
"117","Idaho",2019,13.5922,0.1516,0.0799,0.2315,3,0.108,0.116,0.112
"118","Illinois",2011,179.3886,0.8173,0.5836,1.4009,9.4,0.118,0.15,0.134
"119","Illinois",2012,186.9713,0.8269,0.5875,1.4144,9,0.117,0.153,0.135
"120","Illinois",2013,204.0053,0.7958,0.5467,1.3425,9.1,0.115,0.155,0.135
"121","Illinois",2014,201.5303,0.735,0.5757,1.3107,7.2,0.111,0.152,0.132
"122","Illinois",2015,204.2306,0.8152,0.5025,1.3177,6,0.107,0.145,0.127
"123","Illinois",2016,191.4393,0.6986,0.4604,1.159,5.9,0.107,0.145,0.127
"124","Illinois",2017,187.8519,0.6894,0.3904,1.0798,5,0.104,0.135,0.12
"125","Illinois",2018,182.6011,0.6752,0.3891,1.0643,4.4,0.096,0.129,0.113
"126","Illinois",2019,163.9396,0.6513,0.3686,1.0199,3.9,0.093,0.119,0.106
"127","Indiana",2011,87.756,0.3789,0.2407,0.6196,8.7,0.125,0.168,0.146
"128","Indiana",2012,90.8705,0.3316,0.2943,0.6259,8.2,0.127,0.17,0.149
"129","Indiana",2013,92.6011,0.3751,0.2345,0.6096,7.5,0.131,0.174,0.153
"130","Indiana",2014,89.2699,0.3953,0.2018,0.5971,6,0.121,0.171,0.146
"131","Indiana",2015,83.174,0.3914,0.1949,0.5863,4.8,0.115,0.166,0.141
"132","Indiana",2016,74.161,0.3824,0.1974,0.5798,4.4,0.115,0.166,0.141
"133","Indiana",2017,67.1986,0.3623,0.1815,0.5438,3.5,0.114,0.149,0.132
"134","Indiana",2018,61.7032,0.3776,0.1482,0.5258,3.4,0.106,0.145,0.125
"135","Indiana",2019,53.0384,0.3783,0.1688,0.5471,3.3,0.102,0.136,0.119
"136","Iowa",2011,37.3856,0.1628,0.1506,0.3134,6,0.109,0.138,0.124
"137","Iowa",2012,40.805,0.1446,0.1482,0.2928,5,0.106,0.142,0.124
"138","Iowa",2013,42.0344,0.1524,0.156,0.3084,4.7,0.108,0.146,0.127
"139","Iowa",2014,40.807,0.1544,0.1578,0.3122,4.2,0.107,0.134,0.12
"140","Iowa",2015,39.1224,0.1501,0.158,0.3081,3.7,0.11,0.153,0.131
"141","Iowa",2016,38.0705,0.1543,0.1521,0.3064,3.6,0.11,0.153,0.131
"142","Iowa",2017,36.5893,0.15,0.1256,0.2756,3.1,0.09,0.123,0.106
"143","Iowa",2018,34.5406,0.1711,0.1038,0.2749,2.5,0.095,0.13,0.112
