"","YearStart","LocationAbbr","LocationDesc","DataValue","LowConfidenceLimit","HighConfidenceLimit","LocationID","TOBDataValue","TOBLowConfidenceLimit","TOBHighConfidenceLimit","AlcHeavyDataValue","AlcHeavyLowConfidenceLimit","AlcHeavyHighConfidenceLimit","AlcBingeDataValue","AlcBingeLowConfidenceLimit","AlcBingeHighConfidenceLimit","ObeDataValue","ObeLowConfidenceLimit","ObeHighConfidenceLimit","selfHlthDataValue","selfHlthLowConfidenceLimit","selfHlthHighConfidenceLimit","HlthCareDataValue","HlthCareLowConfidenceLimit","HlthCareHighConfidenceLimit","X.x","SNAP","individual_homeless","fam_homeless","total_homeless","unemployment_rate","Male_poverty","Female_poverty","Total_poverty","X.y","o3_mean","pm2.5_mean","so2_mean","co_mean","no2_mean","State.Name"
"15",2011,"ID","Idaho",11.2,8.7,14.2,16,"16.5",13.4,20.2,"4.2",2.8,6.3,"14.8",11.8,18.5,"49.1",44.5,53.7,87.2,83.8,89.9,69.4,65.1,73.3,109,22.8629,0.131,0.0889,0.2199,9.2,0.133,0.179,0.156,13,0.0401577963147739,11.4349360999233,3.08084053889803,0.271950680806676,10.4178820344828,"Idaho"
"16",2011,"IN","Indiana",13.1,11,15.6,18,"28.3",25.3,31.6,"4.2",3.1,5.8,"18.4",15.7,21.4,"54.5",50.9,58.1,86.3,83.8,88.6,75.9,72.8,78.7,127,87.756,0.3789,0.2407,0.6196,8.7,0.125,0.168,0.146,15,0.033709635499701,12.3195532354643,2.64678822966655,0.486188588559128,10.4002280228605,"Indiana"
"17",2011,"KS","Kansas",12.8,11.4,14.4,20,"23.5",21.7,25.4,"5.1",4.2,6.2,"17.7",16.1,19.5,"52.0",49.8,54.3,89.7,88.4,90.9,76.4,74.4,78.2,145,29.8642,0.1425,0.1086,0.2511,6.6,0.113,0.155,0.134,17,0.0353033237918134,9.31604533990934,1.49104287078237,0.23318747921845,7.41315328146749,"Kansas"
"18",2011,"KY","Kentucky",12.2,10,14.8,21,"32.4",29.2,35.8,"6.3",4.7,8.3,"17.9",15.2,20.9,"55.3",51.6,59,85.9,83.3,88.2,75.7,72.5,78.6,154,82.3472,0.3842,0.2192,0.6034,9.8,0.154,0.201,0.178,18,0.033970817372208,10.9089323213924,1.99260106263337,0.470946426846968,6.32416431147348,"Kentucky"
"19",2011,"LA","Louisiana",7.2,5.7,9,22,"26.5",23.7,29.4,"6.3",4.9,8.2,"14.5",12.3,17,"58.0",54.7,61.2,84,81.5,86.3,69.4,66.3,72.4,163,88.4519,0.7941,0.135,0.9291,7.5,0.147,0.216,0.183,19,0.0294014832755182,10.0387952750352,4.32424104069563,0.221414979395604,6.55632054434721,"Louisiana"
"20",2011,"MA","Massachusetts",15.3,13.5,17.4,25,"20.7",18.6,23,"9.6",8,11.3,"25.4",23,28,"42.3",39.6,45,91.2,89.6,92.6,93.6,92.1,94.8,190,81.3631,0.6344,1.032,1.6664,7.6,0.092,0.127,0.11,22,0.0322898295433619,8.54403019570967,2.36939123284858,0.328113315926531,11.4983583176393,"Massachusetts"
"21",2011,"MD","Maryland",10.7,8.8,13,24,"18.6",15.9,21.7,"6.3",4.8,8.3,"20.3",17.5,23.4,"53.2",49.6,56.8,91.4,89.1,93.2,85.7,82.8,88.1,181,66.7738,0.6353,0.3855,1.0208,7,0.079,0.105,0.093,21,0.0338446325373985,10.8872458094627,1.46886396585462,0.231704073586708,13.2138961599142,"Maryland"
"22",2011,"ME","Maine",19,16.7,21.6,23,"29.8",27.1,32.7,"6.5",5,8.3,"19.5",17.1,22.1,"52.3",49.2,55.4,88.8,86.7,90.6,87.9,85.7,89.8,172,24.7943,0.1184,0.1263,0.2447,7.5,0.121,0.163,0.143,20,0.0286803873073644,NA,0.362474808770029,0.167572686188735,2.86729369490924,"Maine"
"23",2011,"MI","Michigan",12.3,10.2,14.8,26,"23.9",21.2,26.8,"6.2",4.9,8,"18.8",16.4,21.5,"55.5",52.1,58.9,86.9,84.4,89,80.1,77.3,82.6,199,192.8478,0.7634,0.5551,1.3185,10.4,0.149,0.176,0.163,23,0.032858784283429,8.79081281329168,1.72963564821279,0.309894466414424,8.59260459399241,"Michigan"
"24",2011,"MN","Minnesota",10.1,8.6,11.9,27,"21.0",18.8,23.4,"7.6",6.1,9.4,"21.9",19.6,24.4,"47.6",44.7,50.5,91.5,89.7,93,86.2,84,88.1,208,50.5919,0.341,0.4085,0.7495,6.6,0.1,0.122,0.111,24,0.0316462704117581,7.0218209951202,0.362501032816476,0.175949007273464,7.08410543236127,"Minnesota"
"25",2011,"MO","Missouri",11.7,9.4,14.3,29,"28.6",25,32.4,"6.6",4.6,9.4,"20.8",17.5,24.5,"54.7",50.4,58.9,86.9,84.1,89.2,76.5,72.7,79.9,226,94.3088,0.4657,0.4332,0.8989,8.8,0.13,0.171,0.151,26,0.0379108657167816,10.6374163868928,3.95775441043744,0.270996108219178,14.8750651412926,"Missouri"
"26",2011,"MT","Montana",13.4,10.9,16.3,30,"22.5",19.7,25.6,"7.5",6,9.5,"22.1",19.2,25.2,"44.1",40.4,47.9,91.8,89.5,93.6,75.4,72.1,78.4,235,12.4243,0.1094,0.0674,0.1768,7.4,0.136,0.139,0.137,27,0.0316166271906095,7.54548608120401,1.68800778871986,0.212966933342915,2.05957524420187,"Montana"
"27",2011,"MS","Mississippi",10.1,8.1,12.5,28,"26.2",23.4,29.2,"3.4",2.3,4.9,"12.7",10.5,15.3,"64.3",61,67.4,85.8,83.4,87.8,66.6,63.4,69.6,217,62.2596,0.1825,0.0481,0.2306,10.4,0.171,0.239,0.206,25,0.03336359172152,11.7545667249186,0.932007444593059,0.242718275342466,4.78837678356164,"Mississippi"
